time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-02-10,474.65652,475.9189,469.81384,469.88995,34968300,HNX30,469.88995,469.88995,469.88995,,0.0,0.0,0.0,,,,
2025-02-11,468.97415,472.13412,465.68295,471.83685,22677500,HNX30,470.8634,470.8634,470.8634,,0.15530826210823534,0.03106165242164707,0.12424660968658827,,,0.4143310577295889,
2025-02-12,468.17358,474.4368,459.44388,471.72842,21108500,HNX30,471.15174,471.15174,471.15174,,0.2665689431091778,0.07816311055915322,0.18840583255002458,,,-0.02298040095850551,
2025-02-13,468.06516,473.1735,463.95807,471.88815,19677600,HNX30,471.3358425,471.3358425,471.3358425,,0.36344316391495113,0.13521912123031282,0.2282240426846383,,,0.033860584443901054,
2025-02-14,468.22488,482.28354,468.22488,479.18298,41714200,HNX30,472.90527000000003,472.90527000000003,472.90527000000003,,1.0171237282053198,0.31160004262531427,0.7055236855800056,,,1.5458811584906362,
2025-02-17,478.87772,487.71167,477.24564,484.56113,41081800,HNX30,474.84791333333334,474.84791333333334,474.84791333333334,,1.946701677684075,0.6386203696370665,1.3080813080470086,,,1.1223583108064483,
2025-02-18,483.64532,496.27155,482.7157,492.6671,46994200,HNX30,477.3935114285714,477.3935114285714,477.3935114285714,,3.2994489409203993,1.1707860838937332,2.128662857026666,,,1.6728477581352763,
2025-02-19,488.6337,499.39862,485.98642,498.84918,44887600,HNX30,480.07547,480.07547,480.07547,,4.81485048401521,1.8995989639180286,2.9152515200971814,,,1.2548189233662965,
2025-02-20,494.57538,504.20566,494.57538,499.31277,35228900,HNX30,482.2129477777778,482.2129477777778,482.2129477777778,,5.984242342747507,2.7165276396839246,3.2677147030635822,,,0.09293189576857763,
2025-02-21,498.70224,502.4343,495.20224,498.10562,32617400,HNX30,483.802215,483.802215,483.802215,,6.735939185426673,3.5204099488324747,3.2155292365941985,,,-0.24176229260068904,
2025-02-24,490.9182,502.48737,489.96234,502.32883,34165100,HNX30,485.48645272727276,485.48645272727276,485.48645272727276,,7.585006863475257,4.333329331761031,3.2516775317142264,,,0.8478543165202579,
2025-02-25,495.65482,507.2937,487.6529,502.32602,45362000,HNX30,486.88975,486.88975,486.88975,,8.163567843559179,5.099377034120661,3.064190809438518,,,-0.0005593945304638304,
2025-02-26,501.81262,507.02606,500.30728,503.03833,37342000,HNX30,488.13194846153846,488.13194846153846,488.13194846153846,,8.580646698684006,5.795630967033331,2.7850157316506756,,,0.14180232988925123,
