time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-02-10,5843.45,5843.45,5704.55,5704.55,11573200,VNIT,5704.55,5704.55,5704.55,,0.0,0.0,0.0,,,,
2025-02-11,5707.61,5835.9,5639.78,5835.9,8669600,VNIT,5770.225,5770.225,5770.225,,10.478062678062088,2.0956125356124176,8.38245014244967,,,2.3025479660972348,
2025-02-12,5843.36,5848.87,5795.31,5823.48,3892200,VNIT,5787.9766666666665,5787.9766666666665,5787.9766666666665,,17.577193691608954,5.191928766811725,12.38526492479723,,,-0.2128206446306513,
2025-02-13,5822.82,5822.82,5736.49,5752.07,5071000,VNIT,5779.0,5779.0,5779.0,,17.242356808301338,7.602014375109648,9.640342433191691,,,-1.226242727716076,
2025-02-14,5753.08,5824.9,5753.08,5819.72,6221000,VNIT,5787.144,5787.144,5787.144,,22.18010732071434,10.517632964230586,11.662474356483756,,,1.1760983437266948,
2025-02-17,5824.24,5824.24,5759.89,5767.4,5429600,VNIT,5783.853333333333,5783.853333333333,5783.853333333333,,21.622275302569506,12.738561431898368,8.883713870671137,,,-0.8990123236169545,
2025-02-18,5775.12,5800.18,5749.73,5779.05,3817500,VNIT,5783.167142857143,5783.167142857143,5783.167142857143,,21.868164458694082,14.564482037257513,7.303682421436569,,,0.20199743385234115,
2025-02-19,5779.19,5817.39,5752.02,5787.09,8709500,VNIT,5783.6575,5783.6575,5783.6575,,22.45297032792405,16.142179695390823,6.310790632533227,,,0.13912321229268,
2025-02-20,5795.92,5811.77,5748.56,5748.78,6727500,VNIT,5779.782222222222,5779.782222222222,5779.782222222222,,19.599208882700623,16.833585532852783,2.7656233498478393,,,-0.6619907414607384,
2025-02-21,5742.97,5746.55,5691.07,5711.22,8636300,VNIT,5772.926,5772.926,5772.926,,14.14376377453118,16.295621181188462,-2.1518574066572818,,,-0.6533560164069474,
2025-02-24,5692.39,5711.33,5614.56,5654.83,10787200,VNIT,5762.19,5762.19,5762.19,,5.210024572694238,14.078501859489617,-8.868477286795379,,,-0.9873547158050333,
2025-02-25,5652.79,5652.79,5566.27,5597.83,9674800,VNIT,5748.493333333333,5748.493333333333,5748.493333333333,,-6.395725794246573,9.98365632874238,-16.379382122988954,,,-1.0079878617040627,
2025-02-26,5601.95,5705.96,5595.61,5705.96,6099800,VNIT,5745.221538461539,5745.221538461539,5745.221538461539,,-6.7899094060167045,6.6289431817905635,-13.418852587807269,,,1.9316413681730316,
2025-02-27,5710.82,5722.73,5661.15,5686.87,5338400,VNIT,5741.053571428572,5741.053571428572,5741.053571428572,45.997492158103086,-8.54421383796307,3.5943117778398372,-12.138525615802909,,,-0.33456245750057567,
2025-02-28,5638.41,5677.11,5599.17,5650.3,8946000,VNIT,5735.003333333333,5735.003333333333,5735.003333333333,42.198056214126176,-12.738563876234366,0.3277366470249965,-13.066300523259363,,,-0.6430602422773823,
2025-03-03,5662.4,5693.32,5650.52,5658.18,4597700,VNIT,5730.201875,5730.201875,5730.201875,43.285151689908766,-15.250962750934377,-2.7880032325668784,-12.462959518367498,,,0.13946162150682007,
2025-03-04,5622.15,5660.55,5611.15,5637.88,6679100,VNIT,5724.771176470588,5724.771176470588,5724.771176470588,41.13865681146787,-18.664939501756635,-5.96339048640483,-12.701549015351805,,,-0.35877260886009177,
