ticker,comGroupCode,organName,organShortName,organTypeCode,comTypeCode,icbName,icbNamePath,sector,industry,group,subgroup,icbCode,VN30,VNMID,VN100,VNSML,VNALL,HNX30,VNX50,VNXALL,VNDIAMOND,VNFINLEAD,VNFINSELECT,VNSI,VNCOND,VNCONS,VNENE,VNFIN,VNHEAL,VNIND,VNIT,VNMAT,VNREAL,VNUTI
VIF,HNXIndex,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,Lâm nghiệp Việt Nam,DN,CT,Lâm sản và Chế biến gỗ,Nguyên vật liệu/Tài nguyên Cơ bản/Lâm nghiệp và Giấy/Lâm sản và Chế biến gỗ,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,1733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VHE,HNXIndex,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,Dược liệu và Thực phẩm VN,DN,CT,Dược phẩm,Dược phẩm và Y tế/Y tế/Dược phẩm/Dược phẩm,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VHD,UpcomIndex,Công ty Cổ phần Đầu tư phát triển nhà và đô thị VINAHUD,PT Nhà và Đô thị Vinaconex,DN,CT,Bất động sản,Tài chính/Bất động sản/Bất động sản/Bất động sản,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VVN,UpcomIndex,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,XD Công nghiệp Việt Nam,DN,CT,Xây dựng,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu/Xây dựng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KIP,UpcomIndex,Công ty Cổ phần K.I.P Việt Nam,K.I.P Việt Nam,DN,CT,Thiết bị điện,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Điện tử & Thiết bị điện/Thiết bị điện,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGT,UpcomIndex,Tập đoàn Dệt May Việt Nam,VINATEX,DN,CT,Hàng May mặc,Hàng Tiêu dùng/Hàng cá nhân & Gia dụng/Hàng cá nhân/Hàng May mặc,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VMT,UpcomIndex,Công ty Cổ phần Giao nhận Vận tải Miền Trung,Giao nhận Vận tải Miền Trung,DN,CT,Dịch vụ vận tải,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Dịch vụ vận tải,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải,2779,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VGL,UpcomIndex,Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel,Mạ kẽm công nghiệp Vingal-Vnsteel,DN,CT,Thép và sản phẩm thép,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VIP,VNINDEX,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Vận tải Xăng dầu VIPCO,DN,CT,Vận tải Thủy,Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Vận tải Thủy,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2773,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
GVT,UpcomIndex,Công ty Cổ phần Giấy Việt Trì,Giấy Việt Trì,DN,CT,Sản xuất giấy,Nguyên vật liệu/Tài nguyên Cơ bản/Lâm nghiệp và Giấy/Sản xuất giấy,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,1737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
