symbol,close_price,percent_change,market_cap,impact
GAS,107.7,-6.914433880726016,259874688721200.0,-2.0789975097696e+18
BID,47.1,-6.91699604743083,330706146290700.0,-1.15747151201745e+18
VCB,63.1,-2.923076923076923,527243098431400.0,-1.00176188701966e+18
MCH,150.0,-1.510177281680893,194174031750000.0,-4.46600273025e+17
GVR,35.95,-6.985769728331177,143800000000000.0,-3.8826e+17
PLX,53.3,-6.980802792321117,68963701717300.0,-2.758548068692e+17
FPT,97.8,-1.2121212121212122,166602996433800.0,-1.9992359572056e+17
VJC,163.0,-1.2121212121212122,96432647442000.0,-1.92865294884e+17
BSR,23.1,-6.288032454361055,115668622746600.0,-1.7928636525723e+17
VNM,68.4,-1.7241379310344827,142952952438000.0,-1.715435429256e+17
MSN,76.8,-1.7902813299232736,111046307097600.0,-1.5546482993664e+17
STB,59.5,-1.3266998341625207,112170335102000.0,-8.97362680816e+16
BVH,74.9,-2.091503267973856,55599975023600.0,-8.895996003776e+16
TCX,54.5,-1.2681159420289856,125966287144500.0,-8.817640100115e+16
SAB,48.35,-2.224469160768453,62011890686200.0,-6.821307975482e+16
VTP,103.5,-4.25531914893617,12604544847000.0,-5.79809062962e+16
HPG,26.55,-0.7476635514018692,203783618450250.0,-4.075672369005e+16
DGW,48.55,-6.992337164750957,10745094204950.0,-3.92195938480675e+16
GEL,33.7,-3.7142857142857144,29993000000000.0,-3.89909e+16
VGC,48.2,-3.5999999999999996,21610470000000.0,-3.8898846e+16
