symbol,organ_name,en_organ_name,exchange,type,id
DPP,CTCP Dược Đồng Nai,Dong Nai Pharmaceutical Joint Stock Company,UPCOM,stock,1
SDA,CTCP Simco Sông Đà,SIMCO Song Da Joint Stock Company,HNX,stock,1
CLH,CTCP Xi măng La Hiên VVMI,VVMI La Hien Cement Joint Stock Company,HNX,stock,1
DBT,CTCP Dược phẩm Bến Tre,Ben Tre Pharmaceutical Joint Stock Company,HOSE,stock,1
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,Dong Nai Material & Building Investment Joint - Stock Company,UPCOM,stock,1
CCR,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,HNX,stock,1
NOS,CTCP Vận tải biển và Thương mại Phương Đông,Oriental Shipping And Trading Joint Stock Company,UPCOM,stock,1
WSS,CTCP Chứng khoán Phố Wall,Wall Street Securities Company,HNX,stock,1
DPH,CTCP Dược phẩm Hải Phòng,Hai Phong Pharmaceutical Joint Stock Company,UPCOM,stock,1
DSN,CTCP Công viên nước Đầm Sen,Dam Sen Water Park Corporation,HOSE,stock,1
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,Book and Educational Equipment Joint Stock Company of Ho Chi Minh City,HNX,stock,1
CFM,CTCP Đầu tư CFM,CFM Investment Joint Stock Company,UPCOM,stock,1
DST,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,HNX,stock,1
VPG,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Viet Phat Import Export Trading Investment Joint Stock Company,HOSE,stock,1
DCV,CTCP Quản lý Quỹ Đầu tư Dragon Capital Việt Nam,Dragon Capital Vietfund Management Joint Stock Company,UPCOM,stock,1
MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh,Bac Ninh Urban Environment and Public Works Joint Stock Company,UPCOM,stock,1
HPG,CTCP Tập đoàn Hòa Phát,Hoa Phat Group Joint Stock Company,HOSE,stock,1
