symbol,close_price,percent_change,market_cap,impact
VIC,141.5,6.953892668178383,1090403389896000.0,1.00317111870432e+19
VHM,101.3,6.631578947368421,416080836005200.0,2.62130926683276e+18
VPL,84.5,1.8072289156626504,151533881856500.0,2.2730082278475e+17
GEE,160.0,2.3017902813299234,58559992960000.0,2.10815974656e+17
VCK,45.65,6.908665105386416,69471343205000.0,2.0494046245475e+17
MBB,27.85,0.9057971014492754,224331747465650.0,5.60829368664125e+16
VRE,28.95,2.6595744680851063,67419292969500.0,5.0564469727125e+16
KDH,27.6,3.954802259887006,30973131212400.0,3.252178777302e+16
FRT,165.0,0.6097560975609756,28099794525000.0,2.8099794525e+16
BCM,64.5,0.62402496099844,66757500000000.0,2.6703e+16
SSI,29.95,1.1824324324324325,74668022139000.0,2.613380774865e+16
DGC,68.0,1.1904761904761905,25824991448000.0,2.06599931584e+16
GEX,33.55,1.6666666666666667,30275484705400.0,1.665151658797e+16
LGC,60.0,1.694915254237288,12727818480000.0,1.272781848e+16
HVN,26.25,0.5747126436781609,81676828038750.0,1.22515242058125e+16
VIX,21.2,1.6786570743405276,32466312989600.0,1.136320954636e+16
VPI,59.1,0.8532423208191127,18914930000700.0,9457465000350000.0
FUEVFVND,39.78,1.687116564417178,13930956000000.0,9194430960000000.0
BHN,32.95,3.779527559055118,7637810000000.0,9165372000000000.0
VCI,34.75,0.8708272859216255,29540975000000.0,8862292500000000.0
