Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,27/12/2006,"5,665,530"
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,19/08/2009,"5,000,000"
VTC,CTCP Viễn thông VTC,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HNX,12/2/2003,"4,534,696"
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,14/07/2015,"4,405,000"
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,28/12/2006,"4,137,000"
ADC,CTCP Mỹ thuật và Truyền thông,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,24/12/2010,"3,977,936"
PIA,CTCP Tin học Viễn thông Petrolimex,Công nghệ và thông tin,Các dịch vụ thông tin khác,Các dịch vụ thông tin khác,HNX,6/9/2019,"3,900,000"
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,16/02/2009,"3,240,000"
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,21/10/2009,"3,000,000"
KST,CTCP KASATI,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,HNX,29/12/2010,"2,996,010"
TPH,CTCP In sách giáo khoa tại Thành phố Hà Nội,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",HNX,15/12/2006,"2,095,985"
