Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
NST,CTCP Ngân Sơn,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất thuốc lá,HNX,29/12/2006,"11,202,003"
HVT,CTCP Hóa chất Việt Trì,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất hóa chất cơ bản,HNX,8/5/2009,"10,988,059"
SPC,CTCP Bảo vệ Thực vật Sài Gòn,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,27/01/2022,"10,530,000"
SAF,CTCP Lương thực Thực phẩm Safoco,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HNX,8/6/2009,"10,055,789"
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,23/07/2015,"10,000,000"
DTC,CTCP Viglacera Đông Triều,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,16/11/2021,"10,000,000"
SLS,CTCP Mía Đường Sơn La,Sản xuất,Sản xuất thực phẩm,Sản xuất đường và bánh kẹo,HNX,16/10/2012,"9,791,945"
DHP,CTCP Điện cơ Hải Phòng,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất đồ điện gia dụng,HNX,21/03/2013,"9,492,200"
PMC,CTCP Dược phẩm Dược liệu Pharmedic,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,9/10/2009,"9,332,573"
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,15/09/2011,"9,040,697"
PDB,CTCP Tập đoàn Đầu tư Din Capital,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,3/8/2015,"8,909,981"
PPP,CTCP Dược phẩm Phong Phú,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,18/07/2011,"8,799,991"
DP3,CTCP Dược phẩm Trung ương 3,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,17/07/2015,"8,600,000"
STP,CTCP Công nghiệp Thương mại Sông Đà,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,9/10/2006,"8,045,744"
SHE,CTCP Phát triển năng lượng Sơn Hà,Sản xuất,"Sản xuất thiết bị, máy móc",Sản xuất máy móc công nghiệp dịch vụ và thương mại,HNX,25/01/2019,"7,987,948"
PGN,CTCP Phụ Gia Nhựa,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất các sản phẩm hóa chất khác,HNX,4/7/2019,"7,545,647"
VBC,CTCP Nhựa - Bao bì Vinh,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,17/03/2010,"7,499,972"
PHN,CTCP Pin Hà Nội,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HNX,13/03/2019,"7,253,911"
