ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
CMV,HOSE,Thương nghiệp Cà Mau,250.0,5373,Bán lẻ,Retail,1980,666,583.0,0.002,http://www.tncm.com.vn,2.8,-0.022,-0.044,-0.015,18.2,18.2,CT
TH1,UPCOM,XNK Tổng hợp 1,248.0,5337,Bán lẻ,Retail,1981,298,0.0,0.0,http://www.generalexim.com.vn,,-0.067,-0.041,0.004,13.5,13.5,CT
HFX,UPCOM,XNK Thanh Hà,250.0,5373,Bán lẻ,Retail,1992,16,0.0,0.0,http://haforexim.com.vn,,-0.016,0.078,4.402,1.3,1.3,CT
COM,HOSE,Vật tư Xăng dầu,253.0,5379,Bán lẻ,Retail,2000,0,395.0,0.003,http://comeco.vn,2.6,-0.08,0.062,0.03,14.1,14.1,CT
DHT,HNX,Dược phẩm Hà Tây,247.0,5333,Bán lẻ,Retail,2001,795,749.0,0.271,http://www.hataphar.com.vn,2.8,-0.023,0.071,0.199,26.4,26.4,CT
DGW,HOSE,Thế Giới Số,253.0,5379,Bán lẻ,Retail,2003,612,1228.0,0.259,https://digiworld.com.vn,2.9,-0.003,-0.297,-0.032,163.1,163.2,CT
LBC,UPCOM,Thương mại - Đầu tư Long Biên,250.0,5373,Bán lẻ,Retail,2003,167,173.0,0.0,http://www.haprolongbien.vn,,-0.016,0.078,0.53,1.5,1.5,CT
PNG,UPCOM,Thương Mại Phú Nhuận,250.0,5373,Bán lẻ,Retail,2003,99,0.0,0.0,http://www.pnco.vn,,-0.016,0.054,0.71,9.0,9.0,CT
HTT,UPCOM,Thương mại Hà Tây,250.0,5373,Bán lẻ,Retail,2003,54,0.0,0.013,http://www.thuongmaihatay.com,,-0.016,-0.136,-0.277,20.0,20.0,CT
TTH,HNX,TM và DV Tiến Thành,249.0,5371,Bán lẻ,Retail,2003,21,1452.0,0.003,http://www.tienthanhjsc.vn,,0.043,-0.255,-0.4,37.4,37.4,CT
BSC,HNX,Dịch vụ Bến Thành,253.0,5379,Bán lẻ,Retail,2003,13,112.0,0.048,http://www.btsc.com.vn,,-0.016,0.078,0.039,3.2,3.2,CT
MWG,HOSE,Thế giới di động,253.0,5379,Bán lẻ,Retail,2004,40756,20628.0,0.49,http://www.mwg.vn,2.9,-0.035,-0.206,-0.041,1463.6,1463.9,CT
HTM,UPCOM,Thương mại Hà Nội - Hapro,250.0,5373,Bán lẻ,Retail,2004,536,0.0,0.0,http://www.haprogroup.vn,2.3,-0.016,-0.132,-0.018,220.0,220.0,CT
PIT,HOSE,XNK PETROLIMEX,250.0,5373,Bán lẻ,Retail,2004,215,1607.0,0.008,http://www.pitco.com.vn,2.2,-0.058,0.183,-0.195,14.2,15.2,CT
BTT,HOSE,TM - DV Bến Thành,250.0,5373,Bán lẻ,Retail,2004,175,473.0,0.049,http://www.benthanhtsc.com,2.6,0.016,-0.069,0.114,13.5,13.5,CT
THS,HNX,Thanh Hoa Sông Đà,250.0,5373,Bán lẻ,Retail,2004,62,240.0,0.001,http://www.thanhhoasongda.com.vn,,-0.016,0.164,0.385,2.7,3.0,CT
ABS,HOSE,DV Nông nghiệp Bình Thuận,253.0,5379,Bán lẻ,Retail,2004,54,7471.0,0.0,http://www.bitagco.com,2.5,-0.185,-0.336,-0.444,80.0,80.0,CT
DKC,UPCOM,Chợ Lạng Sơn,250.0,5373,Bán lẻ,Retail,2004,,0.0,0.0,http://www.chodongkinh.com.vn,,-0.016,0.078,-0.007,2.3,2.3,CT
PET,HOSE,PETROSETCO,253.0,5379,Bán lẻ,Retail,2005,2739,6272.0,0.015,http://www.petrosetco.com.vn,2.5,-0.034,-0.401,-0.206,89.8,90.5,CT
KGM,UPCOM,XNK Kiên Giang,250.0,5373,Bán lẻ,Retail,2005,280,0.0,0.0,http://www.kigimex.com.vn,,-0.016,0.078,0.057,25.4,25.4,CT
FHN,UPCOM,XNK lương thực Hà Nội,248.0,5337,Bán lẻ,Retail,2005,187,260.0,0.0,http://www.vihafood.com,,-0.016,0.078,0.536,3.0,3.0,CT
AGX,UPCOM,Nông sản Xuất khẩu Sài Gòn,248.0,5337,Bán lẻ,Retail,2006,832,238.0,0.017,http://www.agrexsaigon.com.vn,3.0,-0.016,0.078,0.355,10.8,10.8,CT
PSD,HNX,Phân phối Tổng hợp Dầu khí,253.0,5379,Bán lẻ,Retail,2007,313,1045.0,0.01,http://www.psd.com.vn,2.7,-0.016,-0.221,-0.2,30.7,30.7,CT
SBV,HOSE,Siam Brothers Việt Nam,253.0,5379,Bán lẻ,Retail,2008,531,481.0,0.148,http://www.siambrothersvn.com,3.1,-0.007,0.087,0.065,27.3,27.4,CT
TV6,UPCOM,TM ĐT xây lắp điện Thịnh Vượng,253.0,5379,Bán lẻ,Retail,2008,0,0.0,0.49,http://www.thinhvuongvn.com,2.1,-0.057,-0.203,-0.442,3.0,3.0,CT
CPH,UPCOM,PV mai táng Hải Phòng,252.0,5377,Bán lẻ,Retail,2010,198,211.0,0.0,http://www.maihoatanghaiphong.vn,,-0.016,0.078,0.343,4.4,4.4,CT
AFX,UPCOM,XNK Nông sản An Giang,248.0,5337,Bán lẻ,Retail,2011,239,751.0,0.0,http://www.afiex.com.vn,2.4,-0.007,0.095,0.128,35.0,35.0,CT
FRT,HOSE,Bán lẻ FPT,253.0,5379,Bán lẻ,Retail,2012,10078,8981.0,0.243,http://frt.vn,2.7,-0.071,-0.105,0.958,118.5,118.5,CT
SAS,UPCOM,DV Hàng không sân bay TSN,253.0,5379,Bán lẻ,Retail,2015,857,1112.0,0.004,http://www.sasco.com.vn/vi/trang-chu/,2.4,-0.167,-0.13,-0.004,133.5,133.5,CT
AST,HOSE,Dịch vụ Hàng không Taseco,253.0,5379,Bán lẻ,Retail,2015,453,505.0,0.445,http://www.tasecoairs.vn,2.5,-0.02,-0.059,0.233,45.0,45.0,CT
CEN,UPCOM,CENCON Việt Nam,250.0,5373,Bán lẻ,Retail,2015,19,443.0,0.0,http://www.cencon.vn,,-0.048,-0.297,-0.505,21.7,21.7,CT
TOP,UPCOM,Phân phối Top One,250.0,5373,Bán lẻ,Retail,2015,,111.0,0.015,http://www.toponejsc.com,,-0.092,-0.255,-0.257,25.4,25.4,CT
PGI,HOSE,Bảo hiểm PJICO,292.0,8536,Bảo hiểm,Insurance,1995,1497,0.0,0.206,http://www.pjico.com.vn,2.7,-0.047,0.039,0.421,110.9,110.9,BH
PTI,HNX,Bảo hiểm Bưu điện,292.0,8536,Bảo hiểm,Insurance,1998,2539,9896.0,0.383,https://www.pti.com.vn/,2.4,-0.092,-0.136,0.066,80.4,80.4,BH
BIC,HOSE,Bảo hiểm BIDV,292.0,8536,Bảo hiểm,Insurance,1999,1170,1598.0,0.468,http://www.bic.vn,2.8,0.077,0.112,0.196,117.3,117.3,BH
BMI,HOSE,Bảo hiểm Bảo Minh,292.0,8536,Bảo hiểm,Insurance,2004,1678,0.0,0.323,http://www.baominh.com.vn,2.5,0.007,-0.122,-0.257,109.6,109.6,BH
VNR,HNX,Tái bảo hiểm Quốc gia,293.0,8538,Bảo hiểm,Insurance,2004,101,84.0,0.271,http://www.vinare.com.vn,2.7,-0.035,-0.055,-0.101,150.7,150.7,BH
PVI,HNX,Bảo hiểm PVI,292.0,8536,Bảo hiểm,Insurance,2006,2500,0.0,0.588,http://www.pvi.com.vn,2.7,-0.021,0.038,0.158,234.2,234.2,BH
ABI,UPCOM,BH NH Nông Nghiệp,292.0,8536,Bảo hiểm,Insurance,2006,748,0.0,0.092,http://www.abic.com.vn,2.6,0.095,0.081,-0.077,50.4,43.2,BH
BVH,HOSE,Tập đoàn Bảo Việt,294.0,8575,Bảo hiểm,Insurance,2007,0,8682.0,0.265,https://www.baoviet.com.vn,2.6,-0.03,0.031,0.096,742.3,742.3,BH
MIG,HOSE,Bảo hiểm Quân đội,292.0,8536,Bảo hiểm,Insurance,2012,1957,0.0,0.089,https://www.mic.vn,2.5,0.02,0.035,-0.066,164.5,164.5,BH
AIC,UPCOM,Bảo hiểm Hàng không,292.0,8536,Bảo hiểm,Insurance,2012,1647,0.0,0.001,http://www.vna-insurance.com,2.6,-0.155,-0.097,-0.197,100.0,100.0,BH
BLI,UPCOM,Bảo hiểm Nhà Rồng,292.0,8536,Bảo hiểm,Insurance,2012,978,1275.0,0.008,http://www.baohiembaolong.vn,2.8,-0.016,-0.094,-0.048,60.0,60.0,BH
PRE,HNX,Tái bảo hiểm PVI,293.0,8538,Bảo hiểm,Insurance,2013,42,106.0,0.004,http://www.pvire.com.vn,2.2,0.017,-0.007,0.119,72.8,72.8,BH
TIX,HOSE,TANIMEX,336.0,8633,Bất động sản,Real Estate,1981,113,436.0,0.005,http://www.tanimex.com.vn,3.1,-0.016,0.114,0.293,30.0,30.0,CT
TDH,HOSE,Thủ Đức House,336.0,8633,Bất động sản,Real Estate,1990,310,0.0,0.023,http://www.thuduchouse.com,2.2,-0.044,-0.26,-0.451,112.7,112.7,CT
NVL,HOSE,Đầu tư Địa ốc No Va (Novaland),336.0,8633,Bất động sản,Real Estate,1992,2248,11113.0,0.053,http://www.novaland.com.vn,2.7,-0.317,-0.532,-0.286,1949.8,1949.8,CT
DLR,UPCOM,Địa ốc Đà Lạt,336.0,8633,Bất động sản,Real Estate,1992,86,197.0,0.096,http://www.dalatreal.com.vn,,-0.016,-0.258,0.229,4.5,4.5,CT
NDN,HNX,PT Nhà Đà Nẵng,336.0,8633,Bất động sản,Real Estate,1992,19,202.0,0.019,http://www.ndn.com.vn,2.9,-0.016,-0.132,-0.39,71.7,71.7,CT
FDC,HOSE,FIDECO,336.0,8633,Bất động sản,Real Estate,1993,174,0.0,0.0,http://www.fidecovn.com,2.2,-0.07,0.033,0.539,38.6,38.6,CT
QCG,HOSE,Quốc Cường Gia Lai,336.0,8633,Bất động sản,Real Estate,1994,112,0.0,0.006,http://www.quoccuonggialai.com.vn,2.4,0.122,-0.277,-0.311,275.1,275.1,CT
V11,UPCOM,VINACONEX No11,336.0,8633,Bất động sản,Real Estate,1996,10,0.0,0.003,http://www.vinaconex11.com.vn,,-0.016,-0.172,-0.282,8.4,8.4,CT
C21,UPCOM,Thế kỷ 21,336.0,8633,Bất động sản,Real Estate,1997,123,619.0,0.004,http://www.c21.com.vn,2.7,-0.194,-0.038,-0.099,18.1,19.3,CT
SGR,HOSE,Địa ốc Sài Gòn,336.0,8633,Bất động sản,Real Estate,1999,222,2228.0,0.0,http://www.saigonres.com.vn,3.0,0.045,-0.151,-0.241,60.0,60.0,CT
NTB,UPCOM,Công trình giao thông 584,336.0,8633,Bất động sản,Real Estate,1999,165,0.0,0.002,http://www.congty584.com.vn,,-0.016,-0.207,-0.379,39.8,39.8,CT
VPH,HOSE,Vạn Phát Hưng,336.0,8633,Bất động sản,Real Estate,1999,97,7365.0,0.008,http://www.vanphathung.com,2.9,0.045,-0.235,-0.24,95.4,95.4,CT
ITC,HOSE,Đầu tư kinh doanh Nhà,336.0,8633,Bất động sản,Real Estate,2000,172,0.0,0.003,http://www.intresco.com.vn,3.1,0.044,-0.323,-0.313,95.9,96.4,CT
CRE,HOSE,Bất động sản Thế Kỷ,336.0,8633,Bất động sản,Real Estate,2001,1533,397.0,0.012,http://www.cenland.vn,3.0,-0.016,-0.144,-0.083,463.7,201.6,CT
TIG,HNX,Tập đoàn Đầu tư Thăng Long,336.0,8633,Bất động sản,Real Estate,2001,705,4727.0,0.099,http://www.tig.vn,3.1,0.158,-0.299,-0.278,176.0,160.0,CT
HDC,HOSE,Phát triển Nhà BR-VT,336.0,8633,Bất động sản,Real Estate,2001,105,0.0,0.009,http://www.hodeco.vn,2.8,0.056,-0.021,-0.277,108.1,108.1,CT
KHA,UPCOM,Đầu tư và DV Khánh Hội,336.0,8633,Bất động sản,Real Estate,2001,70,1954.0,0.022,http://www.khahomex.com.vn,2.7,-0.182,-0.073,-0.181,14.0,14.1,CT
LGL,HOSE,Long Giang Land,336.0,8633,Bất động sản,Real Estate,2001,46,1394.0,0.018,http://www.longgiangland.com.vn,2.4,0.011,-0.338,-0.456,51.5,51.5,CT
VIC,HOSE,VinGroup,336.0,8633,Bất động sản,Real Estate,2002,65325,32650.0,0.121,http://www.vingroup.net,2.3,0.193,0.25,0.024,3813.9,3813.9,CT
TAG,UPCOM,Trần Anh Company,336.0,8633,Bất động sản,Real Estate,2002,2200,0.0,0.002,http://www.trananh.vn,2.4,-0.016,0.078,4.133,24.8,24.9,CT
ITA,HOSE,Đầu tư CN Tân Tạo,336.0,8633,Bất động sản,Real Estate,2002,593,65023.0,0.016,http://www.itaexpress.com.vn,2.8,0.052,-0.181,-0.38,938.3,938.5,CT
TDC,HOSE,Becamex TDC,339.0,8637,Bất động sản,Real Estate,2002,364,2877.0,0.017,http://www.becamextdc.com.vn,2.8,-0.023,-0.457,-0.361,100.0,100.0,CT
KBC,HOSE,TCT Đô thị Kinh Bắc,336.0,8633,Bất động sản,Real Estate,2002,198,26083.0,0.17,http://www.kinhbaccity.vn/news/vi,2.8,0.108,-0.196,-0.238,767.6,767.6,CT
VC3,HNX,Tập đoàn Nam Mê Kông,339.0,8637,Bất động sản,Real Estate,2002,132,1281.0,0.0,http://www.nammekong.net,2.3,-0.145,-0.121,0.045,100.2,100.2,CT
TIP,HOSE,PT KCN Tín Nghĩa,336.0,8633,Bất động sản,Real Estate,2002,58,1046.0,0.162,http://www.tinnghiaip.com.vn,2.9,0.096,-0.117,-0.313,65.0,65.0,CT
KAC,UPCOM,Địa ốc Khang An,336.0,8633,Bất động sản,Real Estate,2002,30,107.0,0.0,http://www.khangan.com,2.9,0.102,0.111,1.689,24.0,24.0,CT
SJS,HOSE,SUDICO,336.0,8633,Bất động sản,Real Estate,2003,374,3111.0,0.009,https://sudicosd.com,2.3,-0.266,-0.252,-0.093,113.9,114.9,CT
SZL,HOSE,Sonadezi Long Thành,336.0,8633,Bất động sản,Real Estate,2003,111,863.0,0.172,http://www.szl.com.vn,3.1,0.013,0.018,0.112,18.2,20.0,CT
HPX,HOSE,Đầu tư Hải Phát,336.0,8633,Bất động sản,Real Estate,2003,100,1727.0,0.119,http://www.haiphat.com.vn,2.4,-0.318,-0.381,-0.252,304.2,304.2,CT
IDV,HNX,PT Hạ tầng Vĩnh Phúc,336.0,8633,Bất động sản,Real Estate,2003,83,611.0,0.196,http://www.vpid.vn,3.1,-0.132,-0.172,-0.162,25.2,25.2,CT
DTA,HOSE,BĐS Đệ Tam,336.0,8633,Bất động sản,Real Estate,2003,39,141.0,0.001,http://www.detamland.com,2.5,0.008,-0.171,-0.447,18.1,18.1,CT
RCL,HNX,Địa Ốc Chợ Lớn,336.0,8633,Bất động sản,Real Estate,2003,30,411.0,0.01,http://www.cholonres.com.vn,2.6,0.117,0.078,0.215,13.9,13.9,CT
PDR,HOSE,BĐS Phát Đạt,336.0,8633,Bất động sản,Real Estate,2004,420,1373.0,0.03,https://www.phatdat.com.vn,3.0,-0.315,-0.552,-0.379,671.6,671.6,CT
SCR,HOSE,Sacomreal,336.0,8633,Bất động sản,Real Estate,2004,168,41608.0,0.011,http://www.sacomreal.com.vn,2.4,0.041,-0.233,-0.374,395.7,366.4,CT
CLG,UPCOM,Cotec Land,336.0,8633,Bất động sản,Real Estate,2004,142,0.0,0.004,http://www.cotecland.com.vn,,0.096,-0.088,-0.272,21.2,21.2,CT
D11,HNX,Địa ốc 11,336.0,8633,Bất động sản,Real Estate,2004,137,0.0,0.001,http://www.diaoc11.com.vn,,0.013,-0.099,-0.388,7.3,6.6,CT
NTL,HOSE,Đô thị Từ Liêm,336.0,8633,Bất động sản,Real Estate,2004,103,8476.0,0.122,http://www.lideco.vn,3.1,0.066,-0.17,-0.208,61.0,61.0,CT
TBR,UPCOM,Địa ốc Tân Bình,336.0,8633,Bất động sản,Real Estate,2004,58,206.0,0.0,http://www.tanbinhres.com,,0.013,0.106,,8.1,8.1,CT
HD2,UPCOM,Đầu tư phát triển nhà HUD 2,336.0,8633,Bất động sản,Real Estate,2004,49,0.0,0.001,http://www.hud2.com.vn,,-0.016,-0.345,0.444,9.0,9.0,CT
PPI,UPCOM,BĐS Thái Bình Dương,336.0,8633,Bất động sản,Real Estate,2004,29,2255.0,0.002,http://www.ppigroup.com.vn,,-0.182,-0.366,-0.379,48.3,48.3,CT
NLG,HOSE,BĐS Nam Long,336.0,8633,Bất động sản,Real Estate,2005,1661,30248.0,0.416,http://www.namlongvn.com,2.7,0.095,-0.107,-0.278,384.1,384.1,CT
HDG,HOSE,Tập đoàn Hà Đô,336.0,8633,Bất động sản,Real Estate,2005,1583,1695.0,0.185,http://www.hado.com.vn,2.9,0.015,-0.172,-0.047,244.6,244.6,CT
V21,HNX,Vinaconex 21,336.0,8633,Bất động sản,Real Estate,2005,312,249.0,0.0,http://www.vinaconex21.vn,,0.01,-0.122,-0.427,12.0,12.0,CT
HD6,UPCOM,Phát triển nhà số 6 Hà Nội,336.0,8633,Bất động sản,Real Estate,2005,151,1072.0,0.0,http://www.handico6.com.vn,,-0.023,-0.279,-0.215,14.4,14.4,CT
NTC,UPCOM,KCN Nam Tân Uyên,336.0,8633,Bất động sản,Real Estate,2005,146,202.0,0.035,http://www.namtanuyen.com.vn,3.3,-0.172,-0.288,-0.139,24.0,24.0,CT
NBB,HOSE,577 CORP,336.0,8633,Bất động sản,Real Estate,2005,141,9658.0,0.014,http://nbb.com.vn,2.3,-0.213,-0.182,-0.384,100.2,100.5,CT
HIZ,UPCOM,Khu công nghiệp Hố Nai,336.0,8633,Bất động sản,Real Estate,2005,60,97.0,0.0,http://www.honiz.vn,2.4,,,,7.5,7.5,CT
PLA,UPCOM,Đầu tư và Dịch vụ hạ tầng Xăng dầu (PLAND),336.0,8633,Bất động sản,Real Estate,2005,47,0.0,0.0,http://www.pland.petrolimex.com.vn,,-0.153,0.126,-0.139,10.0,10.0,CT
VRC,HOSE,Bất động sản và Đầu tư VRC,336.0,8633,Bất động sản,Real Estate,2005,18,3064.0,0.005,http://www.vrc.com.vn,2.0,-0.009,-0.137,-0.361,50.0,50.0,CT
BCM,HOSE,Becamex IDC,336.0,8633,Bất động sản,Real Estate,2006,2398,1347.0,0.03,http://www.becamex.com.vn,2.4,0.031,-0.005,0.669,1035.0,1035.0,CT
STL,UPCOM,Sông Đà - Thăng Long,336.0,8633,Bất động sản,Real Estate,2006,783,0.0,0.32,http://www.songdathanglong.com.vn,,-0.016,0.196,0.074,15.0,15.0,CT
NVT,HOSE,Ninh Vân Bay,336.0,8633,Bất động sản,Real Estate,2006,445,1147.0,0.001,http://www.ninhvanbay.vn,2.4,0.027,-0.245,-0.121,90.5,90.5,CT
API,HNX,APEC INVESTMENT,336.0,8633,Bất động sản,Real Estate,2006,232,2495.0,0.001,https://apeci.com.vn,2.8,0.061,-0.353,-0.501,84.1,84.1,CT
LHG,HOSE,KCN Long Hậu,336.0,8633,Bất động sản,Real Estate,2006,135,0.0,0.125,http://www.longhau.com.vn,3.1,0.077,-0.102,-0.29,50.0,50.0,CT
DCH,UPCOM,Địa chính Hà Nội,339.0,8637,Bất động sản,Real Estate,2006,117,115.0,0.0,http://www.hcsc.vn,,-0.016,0.078,0.547,2.9,2.9,CT
D2D,HOSE,Phát triển Đô thị số 2,336.0,8633,Bất động sản,Real Estate,2006,86,3550.0,0.037,http://www.d2d.com.vn,2.9,-0.088,-0.25,-0.331,30.3,30.3,CT
DRH,HOSE,DRH Holdings,336.0,8633,Bất động sản,Real Estate,2006,62,0.0,0.012,http://www.drh.vn,2.0,-0.088,-0.363,-0.493,123.7,124.4,CT
PTL,HOSE,Victory Capital,336.0,8633,Bất động sản,Real Estate,2006,44,2188.0,0.001,http://victorycapital.com.vn/,2.7,-0.03,-0.258,-0.328,98.9,100.0,CT
PVR,UPCOM,Đầu tư PVR Hà Nội,336.0,8633,Bất động sản,Real Estate,2006,29,5064.0,0.001,http://www.pvr.vn,,-0.016,-0.08,-0.141,51.9,53.1,CT
PWA,UPCOM,Bất động sản dầu khí,336.0,8633,Bất động sản,Real Estate,2006,28,589.0,0.028,http://www.petrowaco.vn,,-0.13,-0.248,-0.489,10.0,10.0,CT
HRB,UPCOM,Harec Đầu tư và Thương Mại,336.0,8633,Bất động sản,Real Estate,2006,20,0.0,0.001,http://www.harec.com.vn,,-0.016,0.078,0.593,6.3,6.3,CT
CEO,HNX,Tập đoàn CEO,336.0,8633,Bất động sản,Real Estate,2007,1883,26434.0,0.002,http://www.ceogroup.com.vn,2.5,0.044,-0.238,-0.252,257.3,257.3,CT
DXG,HOSE,Địa ốc Đất Xanh,336.0,8633,Bất động sản,Real Estate,2007,418,39626.0,0.273,http://www.datxanh.com.vn,2.9,0.039,-0.264,-0.267,610.0,609.3,CT
SIP,UPCOM,Đầu tư Sài Gòn VRG,336.0,8633,Bất động sản,Real Estate,2007,306,105.0,0.006,http://www.saigonvrg.com,3.2,-0.098,-0.341,-0.245,90.9,92.9,CT
KDH,HOSE,Nhà Khang Điền,336.0,8633,Bất động sản,Real Estate,2007,292,10737.0,0.346,http://www.khangdien.com.vn,2.6,0.079,-0.059,-0.153,716.8,716.8,CT
AMD,HOSE,FLC Stone,336.0,8633,Bất động sản,Real Estate,2007,273,20584.0,0.012,https://flcstone.vn,2.0,0.045,-0.257,-0.497,163.5,163.5,CT
IJC,HOSE,Becamex IJC,336.0,8633,Bất động sản,Real Estate,2007,266,6982.0,0.065,https://becamexijc.com,3.0,0.084,-0.18,-0.334,217.1,217.1,CT
SZC,HOSE,Sonadezi Châu Đức,336.0,8633,Bất động sản,Real Estate,2007,244,6036.0,0.027,https://sonadezichauduc.com.vn,2.5,0.058,-0.198,-0.207,100.0,100.0,CT
HPI,UPCOM,Khu công nghiệp Hiệp Phước,336.0,8633,Bất động sản,Real Estate,2007,210,239.0,0.0,http://www.hiepphuoc.com.vn,2.5,0.134,0.092,0.17,60.0,60.0,CT
IDJ,HNX,Đầu tư IDJ Việt Nam,336.0,8633,Bất động sản,Real Estate,2007,154,7593.0,0.006,http://www.idjf.vn,2.7,0.06,-0.352,-0.521,173.5,173.5,CT
LEC,HOSE,BĐS Điện lực Miền Trung,336.0,8633,Bất động sản,Real Estate,2007,123,26286.0,0.0,http://www.lec.com.vn,2.3,-0.038,-0.23,-0.191,26.1,26.1,CT
HQC,HOSE,Địa ốc Hoàng Quân,336.0,8633,Bất động sản,Real Estate,2007,104,43657.0,0.014,http://www.hoangquan.com.vn,2.1,0.017,-0.28,-0.357,476.6,476.6,CT
SID,UPCOM,Đầu tư PT Sài Gòn Co.op,336.0,8633,Bất động sản,Real Estate,2007,97,955.0,0.002,http://www.scid-jsc.com,2.3,-0.184,-0.147,-0.2,100.0,100.0,CT
TCH,HOSE,ĐT DV Tài chính Hoàng Huy,336.0,8633,Bất động sản,Real Estate,2007,94,309.0,0.025,http://www.hoanghuy.vn,2.9,0.044,-0.2,-0.333,668.2,668.2,CT
HAR,HOSE,BĐS An Dương Thảo Điền,336.0,8633,Bất động sản,Real Estate,2007,74,9423.0,0.002,http://www.adtdgroup.com,2.6,0.028,-0.102,-0.348,95.7,101.4,CT
CCL,HOSE,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,336.0,8633,Bất động sản,Real Estate,2007,73,5598.0,0.009,http://www.pvcl.com.vn,3.2,0.036,-0.122,-0.353,53.2,53.2,CT
MH3,UPCOM,KCN Cao su Bình Long,336.0,8633,Bất động sản,Real Estate,2007,67,202.0,0.028,http://www.blip.vn,2.7,-0.028,-0.007,0.024,24.0,12.0,CT
VHD,UPCOM,PT Nhà và Đô thị Vinaconex,336.0,8633,Bất động sản,Real Estate,2007,50,0.0,0.0,http://vinahud.com.vn,2.3,0.032,-0.286,-0.13,38.0,38.0,CT
HLD,HNX,Bất động sản HUDLAND,336.0,8633,Bất động sản,Real Estate,2007,46,130.0,0.052,http://www.hudland.com.vn,2.6,-0.045,-0.276,-0.149,20.0,20.0,CT
EFI,UPCOM,Tài chính giáo dục,336.0,8633,Bất động sản,Real Estate,2007,33,653.0,0.002,http://www.efi.vn,,-0.063,0.189,-0.085,10.9,10.9,CT
PXL,UPCOM,KCN Dầu khí Long Sơn,336.0,8633,Bất động sản,Real Estate,2007,24,0.0,0.001,http://www.longsonpic.vn,2.2,-0.063,-0.358,-0.321,82.6,82.7,CT
HD8,UPCOM,PT Nhà và Đô thị HUD8,336.0,8633,Bất động sản,Real Estate,2007,23,214.0,0.001,http://hud8.vn/,,0.156,-0.163,-0.099,10.0,10.0,CT
PVL,HNX,Đầu tư Nhà Đất Việt,336.0,8633,Bất động sản,Real Estate,2007,20,2187.0,0.007,http://www.vpr.com.vn,2.8,0.161,-0.334,-0.536,50.0,50.0,CT
VNI,UPCOM,ĐT BĐS Việt Nam,336.0,8633,Bất động sản,Real Estate,2007,16,112.0,0.0,http://www.vinalandinvest.com.vn,,-0.035,-0.059,0.065,10.4,10.6,CT
PV2,HNX,Đầu tư PV2,336.0,8633,Bất động sản,Real Estate,2007,10,1553.0,0.001,http://www.pv2.com.vn,,-0.016,-0.122,-0.416,36.9,37.4,CT
LSG,UPCOM,BĐS Sài Gòn Vina,336.0,8633,Bất động sản,Real Estate,2007,0,33053.0,0.0,http://www.landsaigon.vn,2.5,0.027,0.078,,90.0,90.0,CT
FLC,HOSE,Tập đoàn FLC,336.0,8633,Bất động sản,Real Estate,2008,10000,32571.0,0.022,http://www.flc.vn,2.4,-0.016,0.078,-0.412,710.0,710.0,CT
VHM,HOSE,Vinhomes,336.0,8633,Bất động sản,Real Estate,2008,7701,43710.0,0.233,https://vinhomes.vn/vi,3.0,0.072,0.048,-0.065,4354.4,4354.4,CT
DIG,HOSE,DIC Corp,336.0,8633,Bất động sản,Real Estate,2008,866,48279.0,0.043,http://www.dic.vn,3.0,0.006,-0.436,-0.441,609.9,609.9,CT
VPI,HOSE,Đầu tư Văn Phú - Invest,336.0,8633,Bất động sản,Real Estate,2008,157,348.0,0.009,http://www.vanphu.vn,2.6,-0.017,0.027,0.58,242.0,242.0,CT
KOS,HOSE,Công ty KOSY,336.0,8633,Bất động sản,Real Estate,2008,67,0.0,0.0,http://www.kosy.vn,2.3,-0.01,0.041,0.49,216.5,216.5,CT
PXC,UPCOM,Phát triển Đô thị Dầu khí,336.0,8633,Bất động sản,Real Estate,2008,65,0.0,0.0,http://www.pvccm.vn,,-0.016,0.078,0.593,28.1,28.1,CT
BVL,UPCOM,BV Land,339.0,8637,Bất động sản,Real Estate,2008,46,175.0,0.0,http://bvland.vn,1.5,-0.043,0.215,0.389,57.3,57.3,CT
PXA,UPCOM,Đầu tư và Thương mại Dầu khí Nghệ An,336.0,8633,Bất động sản,Real Estate,2008,24,2347.0,0.001,http://www.pvit.com.vn,,-0.016,0.078,-0.263,15.0,15.0,CT
VCR,UPCOM,Vinaconex - ITC,336.0,8633,Bất động sản,Real Estate,2008,19,2796.0,0.0,https://vinaconexitc.com.vn/,2.1,-0.053,0.014,-0.079,210.0,210.0,CT
PIV,UPCOM,PIV JSC,339.0,8637,Bất động sản,Real Estate,2008,16,511.0,0.017,http://www.piv.vn,,-0.106,-0.013,-0.286,17.3,17.3,CT
BII,HNX,Louis Land,336.0,8633,Bất động sản,Real Estate,2008,12,108.0,0.001,https://louisholdings.vn,2.7,-0.016,-0.202,-0.537,57.7,57.7,CT
KHG,HOSE,Tập đoàn Khải Hoàn Land,336.0,8633,Bất động sản,Real Estate,2009,144,568.0,0.008,https://khaihoanland.vn,2.7,-0.043,-0.276,-0.327,449.4,443.2,CT
